Threads,ArraySize,Time
3, 8388608, 0.364550
3, 8388608, 0.362228
3, 16777216, 1.164659
3, 16777216, 1.052786
3, 16777216, 0.696521
3, 33554432, 1.587651
3, 33554432, 2.103704
3, 33554432, 1.432828
3, 67108864, 4.315440
3, 67108864, 3.386435
3, 67108864, 3.260454
3, 134217728, 6.893235
3, 134217728, 9.874779
3, 134217728, 12.414838
3, 268435456, 16.073650
3, 268435456, 20.373836
3, 268435456, 13.991620
3, 536870912, 43.441001
3, 536870912, 32.535497
3, 536870912, 34.819143
3, 1073741824, 72.627134
3, 1073741824, 86.157932
3, 1073741824, 64.921648
4, 1048576, 0.056432
4, 1048576, 0.056096
4, 1048576, 0.055949
4, 2097152, 0.103351
4, 2097152, 0.102855
4, 2097152, 0.102672
4, 4194304, 0.213760
4, 4194304, 0.280687
4, 4194304, 0.275751
4, 8388608, 0.363795
4, 8388608, 0.359533
4, 8388608, 0.359325
4, 16777216, 0.980684
4, 16777216, 0.753848
4, 16777216, 0.762437
4, 33554432, 2.154929
4, 33554432, 1.709564
4, 33554432, 2.596424
4, 67108864, 3.998586
4, 67108864, 3.181790
4, 67108864, 3.397926
4, 134217728, 10.261296
4, 134217728, 6.739043
4, 134217728, 9.146658
4, 268435456, 20.756763
4, 268435456, 15.284210
4, 268435456, 14.013268
4, 536870912, 24.268140
4, 536870912, 36.592955
4, 536870912, 29.330391
4, 1073741824, 73.648926
4, 1073741824, 72.017892
4, 1073741824, 59.979065
5, 1048576, 0.029951
5, 1048576, 0.030260
5, 1048576, 0.040093
5, 2097152, 0.073090
5, 2097152, 0.073316
5, 2097152, 0.071960
5, 4194304, 0.135288
5, 4194304, 0.132909
5, 4194304, 0.136267
5, 8388608, 0.537537
5, 8388608, 0.339764
5, 8388608, 0.339497
5, 16777216, 0.657834
5, 16777216, 0.655509
5, 16777216, 0.892981
5, 33554432, 1.279708
5, 33554432, 1.456215
5, 33554432, 1.459616
5, 67108864, 2.478984
5, 67108864, 3.345224
5, 67108864, 2.883226
5, 134217728, 7.297448
5, 134217728, 6.581108
5, 134217728, 6.101021
5, 268435456, 14.290591
5, 268435456, 10.985303
5, 268435456, 11.345820
5, 536870912, 21.305316
5, 536870912, 39.587209
5, 536870912, 28.845547
5, 1073741824, 49.120999
5, 1073741824, 43.308398
5, 1073741824, 69.678739
6, 1048576, 0.036882
6, 1048576, 0.037453
6, 1048576, 0.036800
6, 2097152, 0.087427
6, 2097152, 0.054287
6, 2097152, 0.054655
6, 4194304, 0.171420
6, 4194304, 0.222963
6, 4194304, 0.173782
6, 8388608, 0.293644
6, 8388608, 0.301922
6, 8388608, 0.301579
6, 16777216, 0.572675
6, 16777216, 0.566129
6, 16777216, 0.955500
6, 33554432, 1.274157
6, 33554432, 1.100146
6, 33554432, 1.680015
6, 67108864, 2.601110
6, 67108864, 2.483857
6, 67108864, 3.084709
6, 134217728, 6.844632
6, 134217728, 6.932725
6, 134217728, 7.539771
6, 268435456, 12.346695
6, 268435456, 11.422202
6, 268435456, 13.279014
6, 536870912, 17.633584
6, 536870912, 22.100794
6, 536870912, 22.515266
6, 1073741824, 48.326714
6, 1073741824, 67.072938
7, 1048576, 0.042333
7, 1048576, 0.041944
7, 1048576, 0.042157
7, 2097152, 0.061208
7, 2097152, 0.060657
7, 2097152, 0.059711
